            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Novo campo: SOLICITAÇÕES                                                     ,                         ,                               , Encaminha demandas das casas para órgãos                                                                                                                                                                    ,                                                                                                                                                , VÁRIOS
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , OBTENÇÃO DE FEEDBACK / DESPERSONALIZAR                                       ,                         ,                               , "Conversar com representantes dos públicos-alvos para que eles indiquem melhorias nos processos, no site, nos documentos."                                                                                  ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , PALESTRAS DA CASA                                                            ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , PERMITIR BUSCAR POR NÚMERO DO CRE                                            ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , QR CODE DE DIVULGAÇÃO DA PÁGINA DA CASA                                      ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , REDES SOCIAIS DA CASA                                                        ,                         ,                               , segmentar interesses                                                                                                                                                                                        , "youtube_url, instagram_url, facebook_url, site_url"                                                                                           , nofollow
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , SEO PARA FACILITAR BUSCA POR CIDADE                                          ,                         ,                               , "Atualmente, o widget não usa parâmetros de query na url e isso limita o SEO do site"                                                                                                                       ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , SEO PARA FACILITAR BUSCA POR CIDADE                                          ,                         ,                               , Ao acessar casas.uemmg.org.br/cidades/<NOME> vê uma listagem filtrada por ela                                                                                                                               ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , SEO PARA FACILITAR BUSCA POR CRE                                             ,                         ,                               , Ao acessar casas.uemmg.org.br/cres/<NUMERO> vê a lista de casas da regional                                                                                                                                 ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , SEO SITE                                                                     ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Separar área de cadastro da etapa de visualização                            ,                         ,                               , Permitir que o cadastro passe por uma etapa de compilação para construir uma renderização melhorada                                                                                                         , https://www.gov.br/governodigital/pt-br/acessibilidade-e-usuario/acessibilidade-digital                                                        , 
